17:47:13.650 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
17:47:13.650 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
17:51:27.415 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
17:51:27.462 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
17:51:30.036 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
17:51:30.036 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
17:53:05.805 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
17:53:05.836 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
17:53:08.426 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
17:53:08.426 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
17:55:25.271 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
17:55:25.334 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
17:55:28.174 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
17:55:28.174 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
19:04:35.263 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
19:04:35.326 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
19:04:38.290 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
19:04:38.305 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
10:57:08.502 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
10:57:08.533 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
10:57:11.700 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
10:57:11.700 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
10:59:14.741 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
10:59:14.772 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
10:59:17.424 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
10:59:17.424 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
11:04:25.820 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
11:04:25.867 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
11:04:28.597 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
11:04:28.597 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
11:07:48.482 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
11:07:48.529 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
11:07:51.214 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
11:07:51.214 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
11:14:32.962 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
11:14:32.993 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
11:14:35.614 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
11:14:35.614 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
11:14:55.145 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
11:14:55.207 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
11:14:59.263 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
11:14:59.263 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
13:50:30.624 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
13:50:30.670 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
13:50:33.387 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
13:50:33.387 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
13:51:11.765 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
13:51:11.812 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
13:51:14.745 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
13:51:14.745 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
13:52:05.555 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
13:52:05.617 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
13:52:08.300 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
13:52:08.300 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
13:53:44.069 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
13:53:44.100 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
13:53:46.845 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
13:53:46.845 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
13:57:10.851 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
13:57:10.897 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
13:57:13.721 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
13:57:13.721 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
13:58:09.540 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
13:58:09.587 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
13:58:12.239 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
13:58:12.239 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
14:20:33.421 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
14:20:33.468 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
14:20:36.463 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
14:20:36.463 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
14:24:11.933 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
14:24:12.160 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
14:24:15.724 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:353] | Mac OS X detected - fixing view bug
14:24:15.771 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
14:24:15.771 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
14:25:45.911 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
14:25:46.042 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
14:25:48.226 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:353] | Mac OS X detected - fixing view bug
14:25:48.252 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
14:25:48.253 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
14:28:54.385 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
14:28:54.581 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
14:28:57.703 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:353] | Mac OS X detected - fixing view bug
14:28:57.730 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
14:28:57.731 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
14:48:43.882 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
14:48:44.082 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
14:48:46.203 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:353] | Mac OS X detected - fixing view bug
14:48:46.228 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
14:48:46.229 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
14:50:23.731 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
14:50:23.918 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
14:50:26.473 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:353] | Mac OS X detected - fixing view bug
14:50:26.499 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
14:50:26.500 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
15:05:36.522 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
15:05:36.630 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
15:05:38.689 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:353] | Mac OS X detected - fixing view bug
15:05:38.716 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
15:05:38.717 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
15:08:17.403 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
15:08:17.526 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
15:08:19.636 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:353] | Mac OS X detected - fixing view bug
15:08:19.660 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
15:08:19.661 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
15:09:05.164 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
15:09:05.285 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
15:09:07.402 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:353] | Mac OS X detected - fixing view bug
15:09:07.426 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
15:09:07.427 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
15:12:04.101 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
15:12:04.220 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
15:12:06.311 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:353] | Mac OS X detected - fixing view bug
15:12:06.336 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
15:12:06.337 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
15:25:00.874 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
15:25:01.395 [main] INFO  jams.worldwind.Starter [Starter.java:60] | Exiting Starter application.
15:25:04.087 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:353] | Mac OS X detected - fixing view bug
15:25:04.112 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.GlobeView [GlobeView.java:367] | Recieving Event: LayerChange
15:25:04.113 [AWT-EventQueue-0] INFO  jams.worldwind.ui.view.LayerListView [LayerListView.java:138] | Recieving Event: LayerChange
15:38:20.189 [main] INFO  jams.worldwind.Starter [Starter.java:42] | Entering Starter application.
