date/time	precip	temp	rhum	wind	rain	snow	solRad	netRad	refET	potET	actET	netRain	netSnow	throughfall	interception	intercStorage	snowDepth	snowTotSWE	snowMelt	satMPS	satLPS	actDPS	actMPS	actLPS	percolation	actRG1	actRG2	catchmentRD1	catchmentRD2	catchmentRG1	catchmentRG2	catchmentSimRunoff_qm	catchmentObsRunoff
2004-02-20 03:00	0.0	-5.795999999999996	100.00000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7966368480745272	0.0	0.0	97.15373426366266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.72
2004-02-20 04:00	0.0	-6.437000000000001	100.00000000000001	0.0010000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7966368480745272	0.0	0.0	97.15373426366266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.89
2004-02-20 05:00	0.0	-6.611999999999997	100.00000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7966368480745272	0.0	0.0	97.15373426366266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.78
2004-02-20 06:00	0.0	-6.908999999999998	100.00000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7966368480745272	0.0	0.0	97.15373426366266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.03
2004-02-20 07:00	0.0	-6.501999999999998	96.99922103444442	0.0010000000000000002	0.0	0.0	0.053968526204068674	0.03297604479072316	0.0037093806229467658	0.0036137668922276408	0.0036119160977443492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7965797245106023	0.0	0.0	97.15012234756485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.36
2004-02-20 08:00	0.0	-5.300000000000001	91.5747680210932	0.015000000000000003	0.0	0.0	0.26354429549268893	0.2172241244404425	0.025777979913650776	0.02516306162524011	0.025150415910121255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.796188423415795	0.0	0.0	97.12497193165477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.44
2004-02-20 09:00	0.0	-4.042000000000002	91.32315244681523	0.0	0.0	0.0	0.46306255465423424	0.39276205101197603	0.049348155766594515	0.04550845980338563	0.045484209790812594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7954835037694169	0.0	0.0	97.07948772186393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.43
2004-02-20 10:00	0.0	-1.4510000000000003	83.32329016232347	0.196	0.0	0.0	0.6168108895307769	0.5277715182680354	0.0723710746014925	0.07157101922976324	0.0715279656526884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7943747187771649	0.0	0.0	97.00795975621125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.47
2004-02-20 11:00	0.0	2.2070000000000003	70.97166757868553	0.0	0.0	0.0	1.2909314341712712	1.1205017788786378	0.17972987597030107	0.17161957340723943	0.17149478825041595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.791724277736006	0.0	0.0	96.8364649679608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.01
2004-02-20 12:00	0.0	2.5110000000000006	77.17328423450924	0.028	0.0	0.0	1.2172111919139799	1.055910033594027	0.17061438109642427	0.16774434815885206	0.16754658683912005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7891364180970086	0.0	0.0	96.66891838112169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.06
2004-02-20 13:00	0.0	0.9119999999999998	86.05159353966263	0.0	0.0	0.0	0.7380639592915534	0.6345915249812545	0.09717530890093205	0.09128574184748714	0.0911111588641296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7877402884205641	0.0	0.0	96.57780722225766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.62
2004-02-20 14:00	0.0	0.3430000000000001	92.50719581971586	0.006000000000000011	0.0	0.0	0.6013107680337471	0.5144756377200561	0.07706918198502377	0.07555675105443105	0.07536565140238648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7865881235300566	0.0	0.0	96.50244157085521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.01
2004-02-20 15:00	0.0	-0.14400000000000018	92.54465656590396	0.0	0.0	0.0	0.4454413798700042	0.3772994131898477	0.05554218289960072	0.05163612977379905	0.05147399455147262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7858067435950189	0.0	0.0	96.45096757630373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.28
2004-02-20 16:00	0.0	-1.073999999999999	99.38932190882574	0.0020000000000000005	0.0	0.0	0.2412336933350833	0.19780649300722014	0.028079962995284154	0.027489289914663206	0.027387990238951047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7853913513352634	0.0	0.0	96.4235795860648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.46
2004-02-20 17:00	0.0	-2.1049999999999986	98.70997494471574	0.0010000000000000002	0.0	0.0	0.012137691724188516	0.0	5.797384283775397E-7	1.0254439289350645E-6	1.0219730698873794E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7853913364753764	0.0	0.0	96.42357856409164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.03
2004-02-20 18:00	0.0	-1.9179999999999997	94.11773596891844	0.0	0.0	0.0	0.0	0.0	0.0	0.0021040165017084645	0.0020968949665400856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7853608468413363	0.0	0.0	96.42148166912516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.81
2004-02-20 19:00	0.0	-1.998	89.42986915434196	0.011000000000000008	0.0	0.0	0.0	0.0	5.240048586367679E-5	9.281615268662639E-5	9.250044918024798E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7853595020463318	0.0	0.0	96.42138916867597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.58
2004-02-20 20:00	0.0	-1.4089999999999998	81.4854515174334	0.5390000000000005	0.0	0.0	0.0	0.0	0.004160002992039482	0.0072703277403940265	0.007245593291062133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7852541645655989	0.0	0.0	96.41414357538494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.91
2004-02-20 21:00	0.0	-1.331000000000001	77.64648050818114	2.4490000000000007	0.0	0.0	0.0	0.0	0.016841927661530882	0.02848918587099799	0.028390610964699414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.784841630288358	0.0	0.0	96.38575296442032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.69
